id,trans_date,house_age,dist_MRT,num_stores,lat,long,price,X,Y,Xs,Ys
1,2012.916667,32,84.87882,10,24.98298,121.54024,37.9,304539.8563,2764000.999,0.688463307,1.547816263
2,2012.916667,19.5,306.5947,9,24.98034,121.53951,42.2,304467.3207,2763708.287,0.615927751,1.25510411
3,2013.583333,13.3,561.9845,5,24.98746,121.54391,47.3,304908.378,2764498.706,1.056985065,2.045523214
4,2013.5,13.3,561.9845,5,24.98746,121.54391,54.8,304908.378,2764498.706,1.056985065,2.045523214
5,2012.833333,5,390.5684,5,24.97937,121.54245,43.1,304764.5697,2763602.029,0.913176694,1.148845892
6,2012.666667,7.1,2175.03,3,24.96305,121.51254,32.1,301751.6943,2761782.616,-2.09969863,-0.670567168
7,2012.666667,34.5,623.4731,7,24.97933,121.53642,40.3,304155.7999,2763595.178,0.304406966,1.141994791
8,2013.416667,20.3,287.6025,6,24.98042,121.54228,46.7,304746.9416,2763718.263,0.895548668,1.265080241
9,2013.5,31.7,5512.038,1,24.95095,121.48458,18.8,298933.2821,2760432.007,-4.918110841,-2.021176372
10,2013.416667,17.9,1783.18,3,24.96731,121.51486,22.1,301984.1616,2762255.358,-1.867231404,-0.197825303
11,2013.083333,34.8,405.2134,1,24.97349,121.53372,41.4,303885.753,2762947.238,0.034360079,0.494054653
12,2013.333333,6.3,90.45606,9,24.97433,121.5431,58.1,304832.428,2763044.038,0.981035017,0.590854396
13,2012.916667,13,492.2313,5,24.96515,121.53737,39.3,304257.9309,2762024.916,0.406537968,-0.428267023
14,2012.666667,20.4,2469.645,4,24.96108,121.51046,23.8,301542.4914,2761563.619,-2.308901552,-0.889563749
15,2013.5,13.2,1164.838,4,24.99156,121.53406,34.3,303912.2014,2764948.89,0.060808413,2.495707217
16,2013.583333,35.7,579.2083,2,24.9824,121.54619,50.5,305140.8081,2763939.161,1.289415138,1.485978068
17,2013.25,0,292.9978,6,24.97744,121.54458,70.1,304980.472,2763389.115,1.12907908,0.935931441
18,2012.75,17.7,350.8515,1,24.97544,121.53119,37.4,303629.4674,2763162.226,-0.221925514,0.709043197
19,2013.416667,16.9,368.1363,8,24.9675,121.54451,42.3,304977.8223,2762288.086,1.126429364,-0.165097451
20,2012.666667,1.5,23.38284,7,24.96772,121.54102,47.7,304625.3418,2762311.045,0.773948793,-0.142138341
21,2013.416667,4.5,2275.877,3,24.96314,121.51151,29.3,301647.6548,2761792.192,-2.20373815,-0.660990653
22,2013.416667,10.5,279.1726,7,24.97528,121.54541,51.6,305065.2317,2763150.199,1.213838708,0.697016257
23,2012.916667,14.7,1360.139,1,24.95204,121.54842,24.6,305379.5299,2760577.256,1.528136983,-1.875927201
24,2013.083333,10.1,279.1726,7,24.97528,121.54541,47.9,305065.2317,2763150.199,1.213838708,0.697016257
25,2013,39.6,480.6977,4,24.97353,121.53885,38.8,304403.6834,2762953.715,0.552290417,0.500532101
26,2013.083333,29.3,1487.868,2,24.97542,121.51726,27,302223.0642,2763154.578,-1.628328731,0.701394547
27,2012.666667,3.1,383.8624,5,24.98085,121.54391,56.2,304911.3137,2763766.551,1.059920764,1.313367848
28,2013.25,10.4,276.449,5,24.95593,121.53913,33.6,304439.6958,2761004.373,0.588302805,-1.448810162
29,2013.5,19.2,557.478,4,24.97419,121.53797,47,304314.5448,2763026.467,0.463151846,0.573284215
30,2013.083333,7.1,451.2438,5,24.97563,121.54694,57.1,305219.549,2763189.589,1.368156074,0.736405667
31,2013.5,25.9,4519.69,0,24.94826,121.49587,22.1,300074.4615,2760138.167,-3.776931452,-2.315015826
32,2012.75,29.6,769.4034,7,24.98281,121.53408,25,303918.0367,2763979.707,0.066643737,1.526523739
33,2012.75,37.9,488.5727,1,24.97349,121.53451,34.2,303965.515,2762947.552,0.114122023,0.494368586
34,2013.25,16.5,323.655,6,24.97841,121.54281,49.3,304801.3406,2763495.84,0.949947632,1.04265713
35,2012.75,15.4,205.367,7,24.98419,121.54243,55.1,304760.4158,2764135.907,0.909022808,1.68272393
36,2013.5,13.9,4079.418,0,25.01459,121.51816,27.3,302297.3511,2767493.576,-1.554041907,5.04039324
37,2012.916667,14.7,1935.009,2,24.96386,121.51458,22.9,301957.3387,2761873.114,-1.894054214,-0.580068974
38,2013.166667,12,1360.139,1,24.95204,121.54842,25.3,305379.5299,2760577.256,1.528136983,-1.875927201
39,2012.666667,3.1,577.9615,6,24.97201,121.54722,47.7,305249.4355,2762788.735,1.398042587,0.335551455
40,2013.166667,16.2,289.3248,5,24.98203,121.54348,46.2,304867.3779,2763897.079,1.015984969,1.443896287
41,2013,13.6,4082.015,0,24.94155,121.50381,15.9,300879.0365,2759397.893,-2.972356485,-3.055290163
42,2013.5,16.8,4066.587,0,24.94297,121.50342,18.2,300839.0675,2759555.031,-3.012325466,-2.898151666
43,2013.416667,36.1,519.4617,5,24.96305,121.53758,34.7,304280.056,2761792.395,0.428663069,-0.660788382
44,2012.75,34.4,512.7871,6,24.98748,121.54301,34.1,304817.5113,2764500.558,0.966118335,2.047374458
45,2013.583333,2.7,533.4762,4,24.97445,121.54765,53.9,305291.7602,2763059.176,1.440367216,0.605992427
46,2013.083333,36.6,488.8193,8,24.97015,121.54494,38.3,305020.0607,2762581.786,1.168667751,0.128602957
47,2013.416667,21.7,463.9623,9,24.9703,121.54458,42,304983.6458,2762598.255,1.132252846,0.145071753
48,2013.583333,35.9,640.7391,3,24.97563,121.53715,61.5,304231.123,2763185.64,0.379730028,0.73245726
49,2013.416667,24.2,4605.749,0,24.94684,121.49578,13.4,300065.9469,2759980.85,-3.785446012,-2.472333482
50,2012.666667,29.4,4510.359,1,24.94925,121.49542,13.2,300028.6185,2760247.658,-3.822774509,-2.205525549
51,2013.416667,21.7,512.5487,4,24.974,121.53842,44.2,304360.0621,2763005.602,0.508669128,0.552419135
52,2013.083333,31.3,1758.406,1,24.95402,121.55282,20.7,305822.9587,2760798.371,1.97156578,-1.654812191
53,2013.583333,32.1,1438.579,3,24.97419,121.5175,27,302247.8149,2763018.43,-1.603578105,0.565246772
54,2013.083333,13.3,492.2313,5,24.96515,121.53737,38.9,304257.9309,2762024.916,0.406537968,-0.428267023
55,2013.083333,16.1,289.3248,5,24.98203,121.54348,51.7,304867.3779,2763897.079,1.015984969,1.443896287
56,2012.833333,31.7,1160.632,0,24.94968,121.53009,13.7,303529.5493,2760308.503,-0.32184365,-2.144680122
57,2013.416667,33.6,371.2495,8,24.97254,121.54059,41.9,304579.7985,2762844.757,0.728405492,0.39157385
58,2012.916667,3.5,56.47425,7,24.95744,121.53711,53.5,304235.0569,2761170.819,0.383663944,-1.282364356
59,2013.5,30.3,4510.359,1,24.94925,121.49542,22.6,300028.6185,2760247.658,-3.822774509,-2.205525549
60,2013.083333,13.3,336.0532,5,24.95776,121.53438,42.4,303959.2486,2761205.176,0.107855601,-1.248007436
61,2013.416667,11,1931.207,2,24.96365,121.51471,21.3,301970.5533,2761849.903,-1.880839643,-0.603279687
62,2013.5,5.3,259.6607,6,24.97585,121.54516,63.2,305039.7372,2763213.234,1.188344268,0.760050704
63,2012.916667,17.2,2175.877,3,24.96303,121.51254,27.7,301751.7027,2761780.401,-2.099690266,-0.672782451
64,2013.583333,2.6,533.4762,4,24.97445,121.54765,55,305291.7602,2763059.176,1.440367216,0.605992427
65,2013.333333,17.5,995.7554,0,24.96305,121.54915,25.3,305448.3149,2761797.071,1.596921904,-0.656112447
66,2013.416667,40.1,123.7429,8,24.97635,121.54329,44.3,304850.7153,2763267.859,0.999322335,0.814675815
67,2013,1,193.5845,6,24.96571,121.54089,50.7,304613.1029,2762088.356,0.76170995,-0.364827324
68,2013.5,8.5,104.8101,5,24.96674,121.54067,56.8,304590.4349,2762202.355,0.739041928,-0.250828382
69,2013.416667,30.4,464.223,6,24.97964,121.53805,36.2,304320.2281,2763630.167,0.468835187,1.17698347
70,2012.833333,12.5,561.9845,5,24.98746,121.54391,42,304908.378,2764498.706,1.056985065,2.045523214
71,2013.583333,6.6,90.45606,9,24.97433,121.5431,59,304832.428,2763044.038,0.981035017,0.590854396
72,2013.083333,35.5,640.7391,3,24.97563,121.53715,40.8,304231.123,2763185.64,0.379730028,0.73245726
73,2013.583333,32.5,424.5442,8,24.97587,121.53913,36.3,304430.9237,2763213.017,0.579530715,0.759833571
74,2013.166667,13.8,4082.015,0,24.94155,121.50381,20,300879.0365,2759397.893,-2.972356485,-3.055290163
75,2012.916667,6.8,379.5575,10,24.98343,121.53762,54.4,304275.1519,2764049.793,0.42375898,1.59660956
76,2013.5,12.3,1360.139,1,24.95204,121.54842,29.5,305379.5299,2760577.256,1.528136983,-1.875927201
77,2013.583333,35.9,616.4004,3,24.97723,121.53767,36.8,304282.9214,2763363.072,0.43152842,0.909888577
78,2012.833333,20.5,2185.128,3,24.96322,121.51237,25.6,301734.4579,2761801.381,-2.11693507,-0.651802061
79,2012.916667,38.2,552.4371,2,24.97598,121.53381,29.8,303893.7549,2763223.077,0.042361921,0.769894118
80,2013,18,1414.837,1,24.95182,121.54887,26.5,305425.0704,2760553.071,1.573677429,-1.900111795
81,2013.5,11.8,533.4762,4,24.97445,121.54765,40.3,305291.7602,2763059.176,1.440367216,0.605992427
82,2013,30.8,377.7956,6,24.96427,121.53964,36.8,304487.5234,2761928.353,0.636130391,-0.524830501
83,2013.083333,13.2,150.9347,7,24.96725,121.54252,48.1,304777.0037,2762259.59,0.925610786,-0.193593158
84,2012.916667,25.3,2707.392,3,24.96056,121.50831,17.7,301325.6122,2761505.208,-2.525780778,-0.947975572
85,2013.083333,15.1,383.2805,7,24.96735,121.54464,43.7,304991.015,2762271.524,1.139622064,-0.181659474
86,2012.75,0,338.9679,9,24.96853,121.54413,50.8,304938.9966,2762402.019,1.087603599,-0.051163808
87,2012.833333,1.8,1455.798,1,24.9512,121.549,27,305438.4757,2760484.45,1.587082728,-1.968732654
88,2013.583333,16.9,4066.587,0,24.94297,121.50342,18.3,300839.0675,2759555.031,-3.012325466,-2.898151666
